Count,Tradelist Count,Name,Edition,Card Number,Condition,Language,Foil,Signed,Artist Proof,Altered Art,Misprint,Promo,Textless,My Price
1,0,Adventurous Impulse,Ikoria: Lair of Behemoths,142,Near Mint,English,,,,,,,,$0.00 
2,0,"Aegar, the Freezing Flame",Kaldheim,200,Near Mint,English,,,,,,,,$0.00 
1,0,Aegis of the Heavens,Core Set 2019,1,Near Mint,English,,,,,,,,$0.00 
1,0,Aegis Turtle,Ikoria: Lair of Behemoths,39,Near Mint,English,,,,,,,,$0.00 
1,0,Aerial Assault,Jumpstart,80,Near Mint,English,,,,,,,,$0.00 
1,0,Aerial Engineer,Core Set 2019,211,Near Mint,English,,,,,,,,$0.00 
1,0,Aerial Maneuver,Gatecrash,1,Near Mint,English,,,,,,,,$0.00 
1,0,Aerial Predation,Return to Ravnica,113,Near Mint,English,,,,,,,,$0.00 
1,0,Aerial Responder,Commander 2020,72,Near Mint,English,,,,,,,,$0.00 
1,0,Aether Flash,Classic Sixth Edition,163,Good (Lightly Played),English,,,,,,,,$0.00 
1,0,Aether Gust,Core Set 2020,42,Near Mint,English,,,,,,,,$0.00 
1,0,Aether Inspector,Aether Revolt,3,Near Mint,English,,,,,,,,$0.00 
1,0,Aether Sting,Urza's Destiny,76,Near Mint,English,,,,,,,,$0.00 
1,0,Aetherize,Zendikar Rising Commander,23,Near Mint,English,,,,,,,,$0.00 
1,0,Affa Protector,Oath of the Gatewatch,14,Near Mint,English,,,,,,,,$0.00 
1,0,Aggressive Mammoth,Core Set 2020,337,Near Mint,English,,,,,,,,$0.00 
1,0,Agitator Ant,Commander 2020,49,Near Mint,English,,,,,,,,$0.00 
1,0,Ainok Bond-Kin,Mystery Booster,13,Near Mint,English,,,,,,,,$0.00 
1,0,Air Elemental,Core Set 2020,44,Near Mint,English,,,,,,,,$0.00 
1,0,Ajani Unyielding,Commander 2020,201,Near Mint,English,,,,,,,,$0.00 
1,0,Ajani's Presence,Journey into Nyx,2,Near Mint,English,,,,,,,,$0.00 
1,0,Ajani's Pridemate,War of the Spark,4,Near Mint,English,,,,,,,,$0.00 
2,0,"Akim, the Soaring Wind",Commander 2020,6,Near Mint,English,foil,,,,,,,$0.00 
1,0,Akoum Refuge,Duel Decks: Zendikar vs. Eldrazi,67,Near Mint,English,,,,,,,,$0.00 
1,0,Akoum Warrior // Akoum Teeth,Zendikar Rising,134,Near Mint,English,,,,,,,,$0.00 
1,0,Akroma's Vengeance,Commander 2020,74,Near Mint,English,,,,,,,,$0.00 
1,0,Akroma's Will,Commander Legends,3,Near Mint,English,,,,,,,,$0.00 
1,0,Akroma's Will,Commander Legends,3,Near Mint,English,foil,,,,,,,$0.00 
1,0,Alabaster Mage,Double Masters,2,Near Mint,English,,,,,,,,$0.00 
2,0,Alchemist's Gift,Core Set 2021,87,Near Mint,English,,,,,,,,$0.00 
1,0,"Alena, Kessig Trapper",Commander Legends,160,Near Mint,English,,,,,,,,$0.00 
1,0,"Alesha, Who Smiles at Death",Commander 2020,143,Near Mint,English,,,,,,,,$0.00 
1,0,"Alesha, Who Smiles at Death",Fate Reforged,90,Near Mint,English,,,,,,,,$0.00 
1,0,"Alhammarret, High Arbiter",Magic Origins,43,Near Mint,English,,,,,,,,$0.00 
1,0,"Alharu, Solemn Ritualist",Commander Legends,4,Near Mint,English,,,,,,,,$0.00 
1,0,"Alirios, Enraptured",Theros Beyond Death,42,Near Mint,English,,,,,,,,$0.00 
1,0,All That Glitters,Throne of Eldraine,2,Near Mint,English,,,,,,,,$0.00 
1,0,Alloy Myr,Modern Masters 2015 Edition,201,Near Mint,English,,,,,,,,$0.00 
1,0,Allure of the Unknown,Theros Beyond Death,207,Near Mint,English,,,,,,,,$0.00 
2,0,Alpine Meadow,Kaldheim,248,Near Mint,English,,,,,,,,$0.00 
1,0,Alpine Watchdog,Core Set 2021,2,Near Mint,English,,,,,,,,$0.00 
1,0,Alrund's Epiphany,Kaldheim,41,Near Mint,English,,,,,,,,$0.00 
1,0,Alseid of Life's Bounty,Theros Beyond Death,1,Near Mint,English,,,,,,,,$0.00 
1,0,Ambassador Oak,Jumpstart,375,Near Mint,English,,,,,,,,$0.00 
1,0,Ambition's Cost,Commander 2020,129,Near Mint,English,,,,,,,,$0.00 
2,0,Ambush Viper,Commander Legends,213,Near Mint,English,,,,,,,,$0.00 
1,0,Amorphous Axe,Commander Legends,295,Near Mint,English,,,,,,,,$0.00 
1,0,Amphin Mutineer,Commander Legends,55,Near Mint,English,foil,,,,,,,$0.00 
1,0,Amplifire,Ravnica Allegiance,92,Near Mint,English,,,,,,,,$0.00 
1,0,"Anara, Wolvid Familiar",Commander Legends,214,Near Mint,English,,,,,,,,$0.00 
1,0,"Anax, Hardened in the Forge",Theros Beyond Death,125,Near Mint,English,,,,,,,,$0.00 
1,0,Ancestral Blade,Double Masters,3,Near Mint,English,,,,,,,,$0.00 
2,0,Ancestral Blade,Commander Legends,5,Near Mint,English,,,,,,,,$0.00 
2,0,Ancient Animus,Commander Legends,215,Near Mint,English,,,,,,,,$0.00 
1,0,Ancient Crab,Oath of the Gatewatch,50,Near Mint,English,,,,,,,,$0.00 
1,0,Ancient Den,Mystery Booster,1652,Near Mint,English,,,,,,,,$0.00 
1,0,Ancient Runes,Tempest,161,Near Mint,English,,,,,,,,$0.00 
2,0,Ancient Stirrings,Double Masters,151,Near Mint,English,,,,,,,,$0.00 
2,0,Angel of Finality,Commander 2020,75,Near Mint,English,,,,,,,,$0.00 
2,0,Angel of the Dawn,Commander Legends,6,Near Mint,English,,,,,,,,$0.00 
1,0,Angelheart Protector,Zendikar Rising,3,Near Mint,English,,,,,,,,$0.00 
2,0,Angelic Edict,Gatecrash,2,Near Mint,English,,,,,,,,$0.00 
2,0,Angelic Gift,Commander Legends,7,Near Mint,English,,,,,,,,$0.00 
3,0,Anger,Ultimate Masters,122,Near Mint,English,,,,,,,,$0.00 
1,0,Angrath's Marauders,Ixalan,132,Near Mint,English,,,,,,,,$0.00 
2,0,"Angrath, Captain of Chaos",War of the Spark,227,Near Mint,English,,,,,,,,$0.00 
2,0,Animist's Awakening,Commander 2020,166,Near Mint,English,,,,,,,,$0.00 
2,0,Annihilating Fire,Return to Ravnica,85,Near Mint,English,,,,,,,,$0.00 
1,0,Annoyed Altisaur,Commander Legends,216,Near Mint,English,foil,,,,,,,$0.00 
1,0,Annoyed Altisaur,Commander Legends,216,Near Mint,English,,,,,,,,$0.00 
1,0,Annul,Kaldheim,42,Near Mint,English,,,,,,,,$0.00 
2,0,Anointed Chorister,Core Set 2021,4,Near Mint,English,,,,,,,,$0.00 
1,0,Anointer of Valor,Commander Legends,8,Near Mint,English,foil,,,,,,,$0.00 
1,0,Anointer of Valor,Commander Legends,8,Near Mint,English,,,,,,,,$0.00 
2,0,Anticognition,Zendikar Rising,45,Near Mint,English,,,,,,,,$0.00 
1,0,Apocalypse Demon,Hour of Devastation,58,Near Mint,English,,,,,,,,$0.00 
1,0,Apostle's Blessing,New Phyrexia,2,Near Mint,English,,,,,,,,$0.00 
2,0,Aqueous Form,Commander Legends,56,Near Mint,English,,,,,,,,$0.00 
2,0,Arachnoform,Kaldheim,159,Near Mint,English,,,,,,,,$0.00 
1,0,Araumi of the Dead Tide,Commander Legends,267,Near Mint,English,,,,,,,,$0.00 
2,0,Arboreal Grazer,War of the Spark,149,Near Mint,English,,,,,,,,$0.00 
1,0,Arcane Denial,Commander Legends,393,Near Mint,English,,,,,,,,$0.00 
1,0,Arcane Encyclopedia,Jumpstart,459,Near Mint,English,,,,,,,,$0.00 
5,0,Arcane Signet,Commander 2020,237,Near Mint,English,,,,,,,,$0.00 
2,0,Arcane Signet,Zendikar Rising Commander,106,Near Mint,English,,,,,,,,$0.00 
1,0,Arcane Signet,Commander Legends,297,Near Mint,English,,,,,,,,$0.00 
1,0,Arcbond,Fate Reforged,91,Near Mint,English,,,,,,,,$0.00 
1,0,Archaeological Dig,Invasion,320,Near Mint,English,,,,,,,,$0.00 
1,0,"Archelos, Lagoon Mystic",Commander Legends,268,Near Mint,English,,,,,,,,$0.00 
1,0,Archipelagore,Ikoria: Lair of Behemoths,41,Near Mint,English,,,,,,,,$0.00 
2,0,Archon of Falling Stars,Theros Beyond Death,2,Near Mint,English,,,,,,,,$0.00 
1,0,Archon of Justice,Jumpstart,89,Near Mint,English,,,,,,,,$0.00 
1,0,Archon of Redemption,Jumpstart,90,Near Mint,English,,,,,,,,$0.00 
1,0,Archon of Valor's Reach,Commander 2020,202,Near Mint,English,,,,,,,,$0.00 
1,0,Arctic Treeline,Kaldheim,249,Near Mint,English,,,,,,,,$0.00 
1,0,"Ardenn, Intrepid Archaeologist",Commander Legends,10,Near Mint,English,,,,,,,,$0.00 
2,0,Ardent Electromancer,Zendikar Rising,135,Near Mint,English,,,,,,,,$0.00 
1,0,Ardenvale Paladin,Throne of Eldraine,4,Near Mint,English,,,,,,,,$0.00 
1,0,Ardenvale Tactician // Dizzying Swoop,Throne of Eldraine,5,Near Mint,English,,,,,,,,$0.00 
1,0,Argivian Restoration,Double Masters,42,Near Mint,English,,,,,,,,$0.00 
1,0,Argothian Elder,Urza's Saga,233,Near Mint,English,,,,,,,,$0.00 
2,0,Armed and Armored,Kaldheim,379,Near Mint,English,,,,,,,,$0.00 
2,0,Armillary Sphere,Commander Legends,298,Near Mint,English,,,,,,,,$0.00 
1,0,"Armix, Filigree Thrasher",Commander Legends,108,Near Mint,English,,,,,,,,$0.00 
1,0,Armorcraft Judge,Zendikar Rising Commander,60,Near Mint,English,,,,,,,,$0.00 
1,0,Armorcraft Judge,Commander Legends,218,Near Mint,English,,,,,,,,$0.00 
1,0,Armored Skyhunter,Commander Legends,11,Near Mint,English,,,,,,,,$0.00 
1,0,Armored Transport,Gatecrash,226,Near Mint,English,,,,,,,,$0.00 
1,0,Armory Guard,Return to Ravnica,2,Near Mint,English,,,,,,,,$0.00 
2,0,Armory of Iroas,Commander Legends,299,Near Mint,English,,,,,,,,$0.00 
1,0,Arni Slays the Troll,Kaldheim,201,Near Mint,English,,,,,,,,$0.00 
1,0,Arrester's Admonition,Ravnica Allegiance,31,Near Mint,English,,,,,,,,$0.00 
1,0,Arrester's Zeal,Ravnica Allegiance,4,Near Mint,English,,,,,,,,$0.00 
1,0,Artful Takedown,Guilds of Ravnica,151,Near Mint,English,,,,,,,,$0.00 
1,0,Artifact Mutation,Commander 2020,203,Near Mint,English,,,,,,,,$0.00 
1,0,Arvad the Cursed,Dominaria,191,Near Mint,English,,,,,,,,$0.00 
1,0,Ascent of the Worthy,Kaldheim,202,Near Mint,English,,,,,,,,$0.00 
1,0,Ash Barrens,Commander 2020,255,Near Mint,English,,,,,,,,$0.00 
2,0,Ash Barrens,Double Masters,310,Near Mint,English,,,,,,,,$0.00 
1,0,Ashling's Prerogative,Lorwyn,150,Near Mint,English,,,,,,,,$0.00 
1,0,Aspect of Manticore,Theros Beyond Death,127,Near Mint,English,,,,,,,,$0.00 
1,0,Assassinate,Time Spiral Remastered,101,Near Mint,English,,,,,,,,$0.00 
1,0,Assault Griffin,Gatecrash,4,Near Mint,English,,,,,,,,$0.00 
1,0,Assemble the Legion,Mystery Booster,1390,Near Mint,English,,,,,,,,$0.00 
1,0,Astral Drift,Commander 2020,76,Near Mint,English,,,,,,,,$0.00 
1,0,Attended Healer,Zendikar Rising,6,Near Mint,English,,,,,,,,$0.00 
2,0,Auger Spree,Return to Ravnica,144,Near Mint,English,,,,,,,,$0.00 
1,0,Augury Raven,Kaldheim,44,Near Mint,English,,,,,,,,$0.00 
1,0,Auspicious Starrix,Ikoria: Lair of Behemoths,144,Near Mint,English,,,,,,,,$0.00 
1,0,Austere Command,Commander Legends,12,Near Mint,English,,,,,,,,$0.00 
2,0,Avalanche Caller,Kaldheim,45,Near Mint,English,,,,,,,,$0.00 
1,0,Avalanche Riders,Urza's Legacy,74,Near Mint,English,,,,,,,,$0.00 
1,0,Aven Initiate,Amonkhet,43,Near Mint,English,,,,,,,,$0.00 
1,0,Aven Reedstalker,Hour of Devastation,30,Near Mint,English,,,,,,,,$0.00 
2,0,Aven Surveyor,Commander Legends,57,Near Mint,English,,,,,,,,$0.00 
1,0,Aven Wind Guide,Amonkhet,195,Near Mint,English,,,,,,,,$0.00 
1,0,Avenging Arrow,Return to Ravnica,4,Near Mint,English,,,,,,,,$0.00 
1,0,Avenging Huntbonder,Commander 2020,22,Near Mint,English,,,,,,,,$0.00 
1,0,Axebane Beast,Ravnica Allegiance,121,Near Mint,English,,,,,,,,$0.00 
1,0,Axebane Guardian,Return to Ravnica,115,Near Mint,English,,,,,,,,$0.00 
1,0,Axebane Stag,Return to Ravnica,116,Near Mint,English,,,,,,,,$0.00 
1,0,Axgard Armory,Kaldheim,250,Near Mint,English,,,,,,,,$0.00 
1,0,Axgard Armory,Kaldheim,250,Near Mint,English,foil,,,,,,,$0.00 
1,0,Axgard Braggart,Kaldheim,1,Near Mint,English,,,,,,,,$0.00 
1,0,Axgard Cavalry,Kaldheim,121,Near Mint,English,,,,,,,,$0.00 
2,0,Azorius Arrester,Return to Ravnica,5,Near Mint,English,,,,,,,,$0.00 
1,0,Azorius Chancery,Commander 2020,256,Near Mint,English,,,,,,,,$0.00 
1,0,Azorius Chancery,Dissension,170,Near Mint,English,,,,,,,,$0.00 
7,0,Azorius Guildgate,Return to Ravnica,237,Near Mint,English,,,,,,,,$0.00 
2,0,Azorius Signet,Commander 2020,238,Near Mint,English,,,,,,,,$0.00 
2,0,Azure Fleet Admiral,Commander Legends,58,Near Mint,English,,,,,,,,$0.00 
1,0,Bad Deal,Core Set 2021,89,Near Mint,English,,,,,,,,$0.00 
2,0,Bake into a Pie,Throne of Eldraine,76,Near Mint,English,,,,,,,,$0.00 
2,0,Balduvian Rage,Double Masters,115,Near Mint,English,,,,,,,,$0.00 
2,0,Balustrade Spy,Gatecrash,57,Near Mint,English,,,,,,,,$0.00 
1,0,Banisher Priest,Commander 2020,77,Near Mint,English,,,,,,,,$0.00 
1,0,Banishing Light,Zendikar Rising Commander,11,Near Mint,English,,,,,,,,$0.00 
2,0,Banishing Light,Theros Beyond Death,4,Near Mint,English,,,,,,,,$0.00 
1,0,Barge In,Throne of Eldraine,112,Near Mint,English,,,,,,,,$0.00 
1,0,Barrier of Bones,Guilds of Ravnica,61,Near Mint,English,,,,,,,,$0.00 
1,0,"Barrin, Tolarian Archmage",Core Set 2021,45,Near Mint,English,,,,,,,,$0.00 
1,0,Barrow Witches,Throne of Eldraine,77,Near Mint,English,,,,,,,,$0.00 
1,0,Bartered Cow,Throne of Eldraine,6,Near Mint,English,,,,,,,,$0.00 
1,0,Basalt Monolith,Double Masters,232,Near Mint,English,,,,,,,,$0.00 
2,0,Basalt Ravager,Kaldheim,122,Near Mint,English,,,,,,,,$0.00 
1,0,Base Camp,Zendikar Rising,257,Near Mint,English,,,,,,,,$0.00 
2,0,Basilica Guards,Gatecrash,5,Near Mint,English,,,,,,,,$0.00 
2,0,Basilica Screecher,Gatecrash,58,Near Mint,English,,,,,,,,$0.00 
1,0,Basilisk Collar,Modern Masters 2017 Edition,216,Near Mint,English,,,,,,,,$0.00 
1,0,Basri's Acolyte,Core Set 2021,8,Near Mint,English,,,,,,,,$0.00 
1,0,Bastion of Remembrance,Ikoria: Lair of Behemoths,73,Near Mint,English,,,,,,,,$0.00 
1,0,Batterhorn,Return to Ravnica,87,Near Mint,English,,,,,,,,$0.00 
1,0,Batterskull,New Phyrexia,130,Good (Lightly Played),English,,,,,,,,$0.00 
1,0,Battle for Bretagard,Kaldheim,203,Near Mint,English,,,,,,,,$0.00 
1,0,Battle Rampart,Mercadian Masques,173,Near Mint,English,,,,,,,,$0.00 
1,0,Battle Screech,Modern Horizons,4,Near Mint,English,,,,,,,,$0.00 
1,0,Battle Squadron,Eternal Masters,118,Near Mint,English,,,,,,,,$0.00 
1,0,Battle Strain,Odyssey,177,Near Mint,English,,,,,,,,$0.00 
1,0,Battle-Rattle Shaman,Core Set 2021,130,Near Mint,English,,,,,,,,$0.00 
1,0,Battlefield Forge,Commander 2020,257,Near Mint,English,,,,,,,,$0.00 
1,0,Battlefield Promotion,War of the Spark,5,Near Mint,English,,,,,,,,$0.00 
1,0,Battlefield Raptor,Kaldheim,3,Near Mint,English,,,,,,,,$0.00 
1,0,Battleground Geist,Jumpstart,139,Near Mint,English,,,,,,,,$0.00 
1,0,Beacon Bolt,Guilds of Ravnica,154,Near Mint,English,,,,,,,,$0.00 
1,0,Beanstalk Giant // Fertile Footsteps,Zendikar Rising Commander,61,Near Mint,English,,,,,,,,$0.00 
5,0,Beanstalk Giant // Fertile Footsteps,Throne of Eldraine,149,Near Mint,English,,,,,,,,$0.00 
1,0,Bearded Axe,Kaldheim,388,Near Mint,English,,,,,,,,$0.00 
1,0,Beast Whisperer,Commander 2020,167,Near Mint,English,,,,,,,,$0.00 
1,0,Beast Whisperer,Time Spiral Remastered,356,Near Mint,English,,,,,,,,$0.00 
1,0,Beast Within,Commander 2020,168,Near Mint,English,,,,,,,,$0.00 
2,0,Beckon Apparition,Gatecrash,212,Near Mint,English,,,,,,,,$0.00 
1,0,Befuddle,Jumpstart,140,Near Mint,English,,,,,,,,$0.00 
1,0,Behold the Multiverse,Kaldheim,46,Near Mint,English,,,,,,,,$0.00 
1,0,"Bell Borca, Spectral Sergeant",Commander Legends,271,Near Mint,English,,,,,,,,$0.00 
1,0,Bellows Lizard,Return to Ravnica,88,Near Mint,English,,,,,,,,$0.00 
1,0,Beloved Princess,Throne of Eldraine,7,Near Mint,English,,,,,,,,$0.00 
4,0,Benevolent Blessing,Commander Legends,13,Near Mint,English,,,,,,,,$0.00 
1,0,Benevolent Bodyguard,Eternal Masters,4,Near Mint,English,foil,,,,,,,$0.00 
1,0,Berg Strider,Kaldheim,47,Near Mint,English,,,,,,,,$0.00 
1,0,Beskir Shieldmate,Kaldheim,4,Near Mint,English,,,,,,,,$0.00 
1,0,Beyeen Veil // Beyeen Coast,Zendikar Rising,46,Near Mint,English,,,,,,,,$0.00 
1,0,Bind the Monster,Kaldheim,48,Near Mint,English,,,,,,,,$0.00 
1,0,Binding the Old Gods,Kaldheim,206,Near Mint,English,,,,,,,,$0.00 
1,0,Biogenic Upgrade,Ravnica Allegiance,123,Near Mint,English,,,,,,,,$0.00 
2,0,Bioshift,Gatecrash,214,Near Mint,English,,,,,,,,$0.00 
1,0,Biowaste Blob,Commander Legends,219,Near Mint,English,,,,,,,,$0.00 
1,0,"Birgi, God of Storytelling // Harnfel, Horn of Bounty",Kaldheim,123,Near Mint,English,,,,,,,,$0.00 
1,0,Biting Rain,Shadows over Innistrad,102,Near Mint,English,,,,,,,,$0.00 
1,0,Bitter Feud,Commander 2014,32,Near Mint,English,,,,,,,,$0.00 
2,0,Bitter Revelation,Commander Legends,109,Near Mint,English,,,,,,,,$0.00 
1,0,Bitterblade Warrior,Amonkhet,157,Near Mint,English,,,,,,,,$0.00 
1,0,Black Market,Mystery Booster,575,Near Mint,English,,,,,,,,$0.00 
1,0,Blackblade Reforged,Zendikar Rising Commander,107,Near Mint,English,,,,,,,,$0.00 
1,0,Blackblade Reforged,Commander Legends,457,Near Mint,English,,,,,,,,$0.00 
1,0,Blackblade Reforged,Dominaria,211,Near Mint,English,,,,,,,,$0.00 
1,0,Blackbloom Rogue // Blackbloom Bog,Zendikar Rising,91,Near Mint,English,,,,,,,,$0.00 
1,0,Blade Banish,Ikoria: Lair of Behemoths,4,Near Mint,English,,,,,,,,$0.00 
1,0,Bladebrand,Commander Legends,110,Near Mint,English,,,,,,,,$0.00 
1,0,Bladebrand,Ravnica Allegiance,64,Near Mint,English,,,,,,,,$0.00 
1,0,Bladegriff Prototype,Commander Legends,300,Near Mint,English,,,,,,,,$0.00 
1,0,Bladetusk Boar,Magic 2013,121,Near Mint,English,,,,,,,,$0.00 
1,0,Blasted Landscape,Mystery Booster,1657,Near Mint,English,,,,,,,,$0.00 
2,0,Blazing Volley,Amonkhet,119,Near Mint,English,,,,,,,,$0.00 
1,0,Bleeding Edge,War of the Spark,78,Near Mint,English,,,,,,,,$0.00 
1,0,Blessing of Frost,Kaldheim,161,Near Mint,English,,,,,,,,$0.00 
2,0,Blight-Breath Catoblepas,Theros Beyond Death,86,Near Mint,English,,,,,,,,$0.00 
1,0,Blighted Bat,Amonkhet,80,Near Mint,English,,,,,,,,$0.00 
2,0,Blighted Woodland,Commander 2020,258,Near Mint,English,,,,,,,,$0.00 
1,0,Blighted Woodland,Zendikar Rising Commander,121,Near Mint,English,,,,,,,,$0.00 
1,0,Blighted Woodland,Commander Legends,476,Near Mint,English,,,,,,,,$0.00 
1,0,Blightstep Pathway // Searstep Pathway,Kaldheim,252,Near Mint,English,,,,,,,,$0.00 
1,0,Blindblast,War of the Spark,114,Near Mint,English,,,,,,,,$0.00 
1,0,Blitz Leech,Ikoria: Lair of Behemoths,74,Near Mint,English,,,,,,,,$0.00 
1,0,Blitz of the Thunder-Raptor,Ikoria: Lair of Behemoths,109,Near Mint,English,,,,,,,,$0.00 
1,0,Blizzard Brawl,Kaldheim,162,Near Mint,English,,,,,,,,$0.00 
1,0,Blood Artist,Avacyn Restored,86,Near Mint,English,,,,,,,,$0.00 
1,0,Blood Beckoning,Zendikar Rising,92,Near Mint,English,,,,,,,,$0.00 
1,0,Blood Burglar,Core Set 2020,88,Near Mint,English,,,,,,,,$0.00 
1,0,Blood Curdle,Ikoria: Lair of Behemoths,75,Near Mint,English,,,,,,,,$0.00 
1,0,Blood for Bones,Core Set 2020,89,Near Mint,English,,,,,,,,$0.00 
1,0,Blood Glutton,Core Set 2021,90,Near Mint,English,,,,,,,,$0.00 
1,0,Blood Mist,Eldritch Moon,119,Near Mint,English,,,,,,,,$0.00 
1,0,Blood on the Snow,Kaldheim,79,Near Mint,English,,,,,,,,$0.00 
1,0,Blood Price,Zendikar Rising,93,Near Mint,English,,,,,,,,$0.00 
1,0,Blood-Toll Harpy,Theros,79,Near Mint,English,,,,,,,,$0.00 
1,0,Bloodbriar,Double Masters,154,Near Mint,English,,,,,,,,$0.00 
1,0,Bloodfell Caves,Khans of Tarkir,229,Near Mint,English,,,,,,,,$0.00 
4,0,Bloodfell Caves,Core Set 2020,242,Near Mint,English,,,,,,,,$0.00 
2,0,Bloodfell Caves,Ikoria: Lair of Behemoths,243,Near Mint,English,,,,,,,,$0.00 
1,0,Bloodfire Expert,Mystery Booster,858,Near Mint,English,,,,,,,,$0.00 
1,0,Bloodhaze Wolverine,Throne of Eldraine,113,Near Mint,English,,,,,,,,$0.00 
1,0,Bloodlust Inciter,Mystery Booster,859,Near Mint,English,,,,,,,,$0.00 
1,0,Bloodlust Inciter,Amonkhet,120,Near Mint,English,,,,,,,,$0.00 
1,0,Bloodmist Infiltrator,Ravnica Allegiance,65,Near Mint,English,,,,,,,,$0.00 
1,0,Bloodsky Berserker,Kaldheim,80,Near Mint,English,,,,,,,,$0.00 
1,0,Bloodspore Thrinax,Double Masters,155,Near Mint,English,,,,,,,,$0.00 
1,0,Bloodstone Goblin,Mystery Booster,862,Near Mint,English,,,,,,,,$0.00 
4,0,Bloodthirsty Aerialist,Core Set 2020,91,Near Mint,English,,,,,,,,$0.00 
1,0,Bloom Hulk,War of the Spark,154,Near Mint,English,,,,,,,,$0.00 
1,0,Blossom Dryad,Ixalan,178,Near Mint,English,foil,,,,,,,$0.00 
5,0,Blossoming Sands,Core Set 2020,243,Near Mint,English,,,,,,,,$0.00 
1,0,Blossoming Sands,Ikoria: Lair of Behemoths,244,Near Mint,English,,,,,,,,$0.00 
2,0,Blossoming Sands,Core Set 2021,244,Near Mint,English,,,,,,,,$0.00 
1,0,Blow Your House Down,Throne of Eldraine,114,Near Mint,English,,,,,,,,$0.00 
2,0,Boarding Party,Commander Legends,163,Near Mint,English,,,,,,,,$0.00 
1,0,Bog Naughty,Throne of Eldraine,80,Near Mint,English,,,,,,,,$0.00 
1,0,Bog Wreckage,Odyssey,314,Near Mint,English,,,,,,,,$0.00 
1,0,Bogardan Hellkite,Commander 2014,173,Near Mint,English,,,,,,,,$0.00 
1,0,Bogardan Hellkite,Iconic Masters,118,Near Mint,English,,,,,,,,$0.00 
1,0,Boggart Arsonists,The List,124,Near Mint,English,,,,,,,,$0.00 
1,0,Boggart Brute,Jumpstart,299,Near Mint,English,,,,,,,,$0.00 
1,0,Bojuka Bog,Commander 2020,259,Near Mint,English,,,,,,,,$0.00 
1,0,Bolt Bend,War of the Spark,115,Near Mint,English,,,,,,,,$0.00 
1,0,Bomber Corps,Guilds of Ravnica Guild Kit,80,Near Mint,English,,,,,,,,$0.00 
1,0,Bond of Flourishing,War of the Spark,155,Near Mint,English,,,,,,,,$0.00 
1,0,Bond of Insight,War of the Spark,43,Near Mint,English,,,,,,,,$0.00 
2,0,Bonder's Ornament,Commander 2020,67,Near Mint,English,,,,,,,,$0.00 
1,0,Bone Pit Brute,Core Set 2021,132,Near Mint,English,foil,,,,,,,$0.00 
1,0,Bone Saw,Oath of the Gatewatch,161,Near Mint,English,,,,,,,,$0.00 
2,0,Bone Splinters,Core Set 2020,92,Near Mint,English,,,,,,,,$0.00 
1,0,Bone to Ash,Core Set 2020,48,Near Mint,English,,,,,,,,$0.00 
1,0,Bonehoard,Zendikar Rising Commander,108,Near Mint,English,,,,,,,,$0.00 
1,0,Bonehoard,Mirrodin Besieged,100,Near Mint,English,,,,,,,,$0.00 
1,0,Bonesplitter,Commander Legends,458,Near Mint,English,,,,,,,,$0.00 
1,0,Boneyard Lurker,Ikoria: Lair of Behemoths,178,Near Mint,English,,,,,,,,$0.00 
