Count,Name,Section
2,Goblin Chirurgeon,main
2,Goblin Cratermaker,main
1,Goblin Gaveleer,main
1,Goblin Instigator,main
1,Goblin Matron,main
2,Goblin Motivator,main
1,Goblin Rally,main
1,Goblin Sharpshooter,main
1,Goblin Sledder,main
1,Goblin War Party,main
1,Goblin Warchief,main
1,"Godo, Bandit Warlord",main
1,Gods Willing,main
1,Gold Myr,main
2,Golgari Rot Farm,main
1,Golgari Signet,main
1,"Gonti, Lord of Luxury",main
1,Goremand,main
1,Grafted Wargear,main
1,Grand Warlord Radha,main
1,Gratuitous Violence,main
1,Grim Initiate,main
3,Growth Spiral,main
1,Gruul Guildgate,main
1,Gruul Turf,main
2,Guardian Gladewalker,main
2,Guildless Commons,main
1,Guildscorn Ward,main
1,Gyre Engineer,main
1,Halimar Depths,main
1,"Hanna, Ship's Navigator",main
1,"Harald, King of Skemfar",main
3,Harmonize,main
2,Harrow,main
1,Heartless Act,main
1,Heartless Hidetsugu,main
1,Heliod's Pilgrim,main
1,Helm of Awakening,main
2,Heraldic Banner,main
2,Hero's Blade,main
1,Heroic Intervention,main
1,Hidden Strings,main
2,High Market,main
1,Hoarding Dragon,main
1,Honden of Cleansing Fire,main
1,Honden of Infinite Rage,main
1,Honden of Life's Web,main
1,Honden of Night's Reach,main
1,Honden of Seeing Winds,main
1,Hoofprints of the Stag,main
1,Hope Tender,main
1,Hordeling Outburst,main
1,Hour of Revelation,main
1,Hullbreacher,main
1,Humble Defector,main
1,Hunted Dragon,main
1,Hurly-Burly,main
1,Hushbringer,main
1,Ice Tunnel,main
1,Idol of Oblivion,main
1,Illusionist's Bracers,main
1,Illusionist's Stratagem,main
1,Illusory Ambusher,main
1,Ilysian Caryatid,main
1,Imperious Perfect,main
1,Implement of Malice,main
3,Impulsive Pilferer,main
1,In Garruk's Wake,main
1,Incubation Druid,main
1,Indomitable Creativity,main
2,Inferno Titan,main
1,Inkwell Leviathan,main
1,Inquisitive Puppet,main
1,Insatiable Hemophage,main
1,Inscription of Ruin,main
1,Inspiring Call,main
1,Insult // Injury,main
1,Intangible Virtue,main
1,Interpret the Signs,main
1,Iron Myr,main
1,Ironclad Slayer,main
1,Ironshell Beetle,main
1,Irregular Cohort,main
51,Island,main
1,"Isperia, Supreme Judge",main
1,It That Betrays,main
1,Ivy Lane Denizen,main
2,Izzet Boilerworks,main
2,Izzet Guildgate,main
2,Izzet Signet,main
1,Jace's Archivist,main
1,Jandor's Saddlebags,main
1,Jaspera Sentinel,main
1,Jaya's Immolating Inferno,main
1,"Jeska, Thrice Reborn",main
1,Jhoira's Familiar,main
1,"Jodah, Archmage Eternal",main
1,Jungle Shrine,main
1,Kamahl's Druidic Vow,main
1,Kargan Warleader,main
1,"Kari Zev, Skyship Raider",main
1,Karn's Temporal Sundering,main
1,Kaya the Inexorable,main
1,Kazandu Mammoth // Kazandu Valley,main
1,"Kazarov, Sengir Pureblood",main
1,Kazuul's Fury // Kazuul's Cliffs,main
3,Keening Apparition,main
1,Keep Safe,main
1,Keeper of Fables,main
1,Keldon Halberdier,main
1,"Kenrith, the Returned King",main
1,"Kethis, the Hidden Hand",main
1,Khalni Heart Expedition,main
1,Kiora's Follower,main
1,Knight of the White Orchid,main
1,Kodama of the East Tree,main
3,Kodama's Reach,main
1,"Koma, Cosmos Serpent",main
1,Krenko's Command,main
1,"Krenko, Mob Boss",main
1,"Krenko, Tin Street Kingpin",main
1,Krosan Grip,main
1,Krosan Restorer,main
1,"Kwain, Itinerant Meddler",main
1,Lavabrink Floodgates,main
1,Lawmage's Binding,main
1,Lazotep Plating,main
1,Ley Weaver,main
1,Lifecrafter's Bestiary,main
1,Light of Promise,main
1,Light Up the Stage,main
1,Lightning Bolt,main
4,Lightning Greaves,main
1,Lightning Strike,main
1,Lightning-Rig Crew,main
1,Llanowar Elves,main
2,Llanowar Visionary,main
1,Llanowar Wastes,main
1,Loreseeker's Stone,main
1,Loxodon Warhammer,main
1,"Lukka, Coppercoat Outcast",main
1,Maelstrom Nexus,main
2,Magewright's Stone,main
1,Magmaquake,main
1,Magmatic Force,main
1,Magmatic Insight,main
1,Magus of the Candelabra,main
2,Magus of the Wheel,main
1,Make a Stand,main
1,Makindi Stampede // Makindi Mesas,main
1,Mana Echoes,main
1,Mana Geyser,main
1,Mana Leak,main
1,Manascape Refractor,main
2,Marble Diamond,main
1,Mark of Fury,main
1,Market Festival,main
1,Martial Coup,main
1,Mask of Avacyn,main
1,Mask of Memory,main
2,Masked Vandal,main
1,Maskwood Nexus,main
1,Massive Raid,main
1,Master Splicer,main
1,Master Warcraft,main
1,Mayhem Devil,main
1,Mazemind Tome,main
1,Meddling Mage,main
1,Metalwork Colossus,main
2,Meteor Golem,main
2,Military Intelligence,main
2,Mimic Vat,main
1,"Mina and Denn, Wildborn",main
1,Mind Drain,main
1,Mind Spring,main
1,Mind Stone,main
1,Mindleecher,main
1,Mirage Mirror,main
1,Mirror March,main
2,Miscast,main
1,Mishra's Bauble,main
1,Mishra's Factory,main
1,Mist-Syndicate Naga,main
1,Mizzium Mortars,main
1,Mogg War Marshal,main
1,Molten Echoes,main
2,Molten Primordial,main
1,Momentary Blink,main
2,Moss Diamond,main
1,Mossfire Valley,main
1,Mosswort Bridge,main
112,Mountain,main
1,Murkfiend Liege,main
1,Murmuring Mystic,main
1,Myr Battlesphere,main
1,Myr Retriever,main
1,Myriad Construct,main
9,Myriad Landscape,main
1,Mystic Monastery,main
1,Mystical Dispute,main
1,Mythos of Brokkos,main
1,Mythos of Illuna,main
1,Nadier's Nightblade,main
1,"Nadier, Agent of the Duskenel",main
1,"Najeela, the Blade-Blossom",main
1,Nature's Way,main
1,Naya Panorama,main
1,Necrotic Hex,main
1,Needle Spires,main
3,Negate,main
1,Nesting Grounds,main
1,Netherborn Altar,main
1,Neutralize,main
1,Nevinyrral's Disk,main
1,New Horizons,main
1,"Nezahal, Primal Tide",main
1,Nimble Obstructionist,main
1,"Nissa, Steward of Elements",main
1,Nomad Outpost,main
1,Notion Thief,main
1,Oakhame Adversary,main
1,Oasis Ritualist,main
1,Obelisk of Urd,main
1,Oblivion's Hunger,main
1,Obscuring Haze,main
1,"Odric, Lunarch Marshal",main
1,Of One Mind,main
1,Omen Machine,main
1,Ominous Seas,main
1,On Serra's Wings,main
1,Onslaught,main
1,Open into Wonder,main
1,Open the Armory,main
1,Open the Omenpaths,main
1,Opt,main
1,Opulent Palace,main
1,"Oran-Rief, the Vastwood",main
1,Ornithopter,main
2,Orzhov Basilica,main
1,Orzhov Signet,main
1,Outmuscle,main
1,Outpost Siege,main
1,Pact of Negation,main
1,Painted Bluffs,main
1,Paradox Haze,main
1,Parasitic Impetus,main
1,Pashalik Mons,main
2,Path of Ancestry,main
1,Pelakka Predation // Pelakka Caverns,main
1,Pemmin's Aura,main
1,Peregrine Drake,main
2,Perplex,main
1,Pestilence,main
1,Petrified Field,main
1,Phyrexian Altar,main
1,Phyrexian Rager,main
1,Phyrexian Triniform,main
1,Pia and Kiran Nalaar,main
50,Plains,main
1,Planar Outburst,main
2,Plaza of Harmony,main
1,Plea for Guidance,main
1,Poison the Cup,main
1,Pollenbright Druid,main
1,Pongify,main
1,Port Town,main
1,Portent of Betrayal,main
1,Prairie Stream,main
1,Predator Ooze,main
3,Preordain,main
1,Presence of Gond,main
1,Prey Upon,main
1,Price of Fame,main
1,Price of Progress,main
1,Pridemalkin,main
1,Primevals' Glorious Rebirth,main
1,Primordial Sage,main
2,Prismatic Lens,main
1,Prismite,main
1,Profane Command,main
1,Propaganda,main
1,Prosperity,main
1,Prowler's Helm,main
1,Psychic Impetus,main
1,Psychosis Crawler,main
1,Pyroclasm,main
1,Pyrohemia,main
1,Quest for Pure Flame,main
1,"Radha, Heart of Keld",main
1,"Raff Capashen, Ship's Mage",main
1,Raise the Draugr,main
2,Rakdos Carnarium,main
1,Rakdos Guildgate,main
1,Rakdos Locket,main
1,Rakdos Signet,main
1,Rakshasa Debaser,main
1,Rally the Ranks,main
1,Ram Through,main
2,Rampaging Baloths,main
2,Rampant Growth,main
1,Ranger's Guile,main
1,"Rashmi, Eternities Crafter",main
1,Ravenous Baboons,main
1,Reality Scramble,main
2,Realmwalker,main
1,Reckless One,main
3,Reclamation Sage,main
2,Reconnaissance Mission,main
1,Reflector Mage,main
1,"Reki, the History of Kamigawa",main
1,Relentless Assault,main
1,Relic Axe,main
3,Reliquary Tower,main
1,"Renata, Called to the Hunt",main
1,Repeated Reverberation,main
2,Replicating Ring,main
1,Reshape,main
1,Reshape the Earth,main
1,Resolute Strike,main
1,Resplendent Marshal,main
1,Response // Resurgence,main
1,Return of the Wildspeaker,main
1,Return to Nature,main
1,Reverberate,main
2,Rewind,main
1,"Reyav, Master Smith",main
1,Ring of Thune,main
1,Ring of Valkas,main
1,Rings of Brighthearth,main
2,Rise of the Dread Marn,main
1,Rites of Flourishing,main
3,"Rograkh, Son of Rohgahh",main
1,Rogue's Passage,main
1,Rolling Earthquake,main
2,Rootborn Defenses,main
1,Rootless Yew,main
1,Rugged Prairie,main
1,Ruinous Ultimatum,main
1,Sailor of Means,main
1,Sakashima's Protege,main
2,Sakashima's Will,main
1,Sakura-Tribe Elder,main
1,Sanctuary Blade,main
1,Sanctum of All,main
1,Sanctum of Calm Waters,main
1,Sanctum of Fruitful Harvest,main
1,Sanctum of Shattered Heights,main
1,Sanctum of Stone Fangs,main
1,Sanctum of Tranquil Light,main
1,Sandsteppe Citadel,main
1,Satyr's Cunning,main
3,Saw It Coming,main
1,Scale Up,main
1,Scour All Possibilities,main
1,Scourge of Skola Vale,main
1,Scouring Sands,main
1,Scuttlemutt,main
1,Scytheclaw,main
1,Sea Gate Banneret,main
1,Sea Gate Oracle,main
2,Search for Tomorrow,main
1,Seize the Spoils,main
1,Selesnya Sanctuary,main
1,Sentinel's Eyes,main
1,Sepulchral Primordial,main
1,Shackles of Treachery,main
1,Shadowblood Ridge,main
1,Shadowspear,main
1,Shamanic Revelation,main
1,"Shanna, Sisay's Legacy",main
1,Shared Animosity,main
1,Shatter the Sky,main
1,Sheltering Light,main
1,Shielded Passage,main
1,Shimmerdrift Vale,main
1,Shiny Impetus,main
1,Shivan Reef,main
1,Short Sword,main
1,Sickleslicer,main
1,Siege-Gang Commander,main
1,Sigarda's Aid,main
1,Signal the Clans,main
1,"Silas Renn, Seeker Adept",main
1,Silent Arbiter,main
1,Silver Myr,main
1,Simian Spirit Guide,main
1,Simic Charm,main
4,Simic Growth Chamber,main
1,Simic Guildgate,main
1,Simic Signet,main
1,Siren Stormtamer,main
1,"Sisay, Weatherlight Captain",main
1,Skirk Prospector,main
1,Skull Raid,main
2,Skullclamp,main
3,Sky Diamond,main
1,Skycat Sovereign,main
3,Skyclave Relic,main
1,Skycloud Expanse,main
1,Slate Street Ruffian,main
1,Slayers' Stronghold,main
1,Slice and Dice,main
1,"Slinn Voda, the Rising Deep",main
1,Slippery Bogbonder,main
1,"Slurrk, All-Ingesting",main
1,Smallpox,main
1,Smite,main
1,Smoldering Marsh,main
1,Smothering Tithe,main
2,Snakeskin Veil,main
3,Snow-Covered Island,main
5,Snow-Covered Mountain,main
3,Snow-Covered Swamp,main
11,Sol Ring,main
4,Solemn Simulacrum,main
1,Song-Mad Treachery // Song-Mad Ruins,main
1,Soul Sear,main
1,Soulherder,main
1,Spark Harvest,main
1,Species Specialist,main
2,Spectral Sailor,main
1,Spell Rupture,main
1,Spell Snuff,main
1,Spellgorger Weird,main
1,Sphinx of the Second Sun,main
3,Spinerock Knoll,main
1,Spitting Image,main
1,Spore Frog,main
1,Springleaf Drum,main
1,"Squee, the Immortal",main
1,"Sram, Senior Edificer",main
1,Star Compass,main
2,Starlit Mantle,main
1,Stingscourger,main
1,Stolen by the Fae,main
2,Stolen Identity,main
1,Stone-Seeder Hierophant,main
1,Storm's Wrath,main
1,Stormtide Leviathan,main
1,Strength of the Tajuru,main
1,Stumpsquall Hydra,main
1,"Subira, Tulzidi Caravanner",main
1,Sulfurous Blast,main
1,Sulfurous Mire,main
2,Sun Titan,main
1,Sunbird's Invocation,main
1,Sunblast Angel,main
1,Sundering Stroke,main
1,Sunforger,main
1,Sungrass Prairie,main
1,"Sunhome, Fortress of the Legion",main
1,Sunken Hollow,main
1,Sunset Pyramid,main
1,Supernatural Stamina,main
1,Surrakar Spellblade,main
1,"Svella, Ice Shaper",main
50,Swamp,main
1,Swarm Intelligence,main
5,Swiftfoot Boots,main
1,Swiftwater Cliffs,main
1,Sword of the Chosen,main
1,Swords to Plowshares,main
1,"Sygg, River Cutthroat",main
1,"Syr Konrad, the Grim",main
1,Tajuru Blightblade,main
1,Talisman of Resilience,main
1,"Talrand, Sky Summoner",main
1,Tectonic Edge,main
1,Temple of Malady,main
1,Temple of Malice,main
1,Temple of Mystery,main
9,Temple of the False God,main
1,Terastodon,main
1,Tergrid's Shadow,main
1,"Tergrid, God of Fright // Tergrid's Lantern",main
1,Terminate,main
1,Terramorphic Expanse,main
1,Terror of Mount Velus,main
1,"Teshar, Ancestor's Apostle",main
1,"Thassa, Deep-Dwelling",main
1,The Akroan War,main
1,The Locust God,main
1,Thermopod,main
1,Thespian's Stage,main
1,Thought Vessel,main
1,Thraben Inspector,main
1,Thran Dynamo,main
1,Thrashing Wumpus,main
1,Three Dreams,main
2,Three Visits,main
2,Thrill of Possibility,main
1,Thriving Bluff,main
2,Thriving Grove,main
1,Thriving Heath,main
4,Thriving Isle,main
1,Tidal Barracuda,main
1,Time Wipe,main
1,Tin Street Dodger,main
1,Titanic Brawl,main
1,"Toralf, God of Fury // Toralf's Hammer",main
1,Trading Post,main
1,Traitorous Greed,main
2,Tranquil Cove,main
1,Transmogrify,main
1,Traveler's Amulet,main
1,Treacherous Terrain,main
1,Treasonous Ogre,main
1,Treasure Cruise,main
1,Treasure Keeper,main
1,Tribute to the Wild,main
1,Trophy Mage,main
1,Trove Tracker,main
1,Tuktuk Rubblefort,main
1,Tuktuk the Explorer,main
1,Turn Aside,main
1,Twilight Mire,main
1,Twinning Staff,main
1,Unbreakable Formation,main
1,Unclaimed Territory,main
1,Unexplained Vision,main
1,Unholy Indenture,main
1,Universal Automaton,main
1,Unnatural Endurance,main
1,Unquestioned Authority,main
1,Unsummon,main
1,Unwind,main
1,Urban Burgeoning,main
1,Urban Evolution,main
1,Urza's Ruinous Blast,main
1,Valor in Akros,main
1,Valorous Stance,main
1,Vampire Nighthawk,main
1,Vastwood Hydra,main
1,Vengeful Reaper,main
1,Verdant Haven,main
1,Verdant Sun's Avatar,main
1,Village Rites,main
1,Viscera Seer,main
1,Vivid Creek,main
1,Vivid Grove,main
1,Vizier of Tumbling Sands,main
1,Volatile Fjord,main
1,Volcanic Fallout,main
1,Vorapede,main
1,Vow of Duty,main
1,Vow of Flight,main
1,Vow of Wildness,main
1,Voyaging Satyr,main
1,Wall of Blossoms,main
1,Wall of Omens,main
1,War Room,main
1,Watcher for Tomorrow,main
1,Wear // Tear,main
1,Weirding Wood,main
1,Wheel and Deal,main
1,Wheel of Misfortune,main
1,Whelming Wave,main
1,Whirler Rogue,main
1,Whirlwind Denial,main
1,"Whisper, Blood Liturgist",main
1,White Sun's Zenith,main
1,Wild Guess,main
2,Wild Ricochet,main
1,Wilderness Reclamation,main
1,Wildwood Tracker,main
1,Wind-Scarred Crag,main
1,Windfall,main
1,Winds of Rath,main
1,Wings of Hubris,main
1,Wizard's Retort,main
1,Word of Seizing,main
1,Workshop Assistant,main
1,Worn Powerstone,main
2,Wrath of God,main
1,"Wyleth, Soul of Steel",main
1,Yavimaya Coast,main
1,"Yidaro, Wandering Monster",main
1,"Yorvo, Lord of Garenbrig",main
1,Zealous Conscripts,main
1,"Zetalpa, Primal Dawn",main
1,Zulaport Cutthroat,main
1,Zur the Enchanter,main
